address,amount
0x2b26da567c2a8c220daf91be8e37a429d33aef0b,1000
0x38d894e135400587e11b4b5217867e75b0571bc0,200
0x0f23189b256939996dec01766f6b2e581afb5bb3,680
0x6991290b18ff342aa758bcac68c171d9fc77ebbd,11286
0x469c5db50a93995b259fdfde80d0b8c9a64d923d,2500
0xedd3783e8c7c52b80cfbd026a63c207edc9cbee7,200
0xbf0d78ebe5e2c5a8ed9dbe42d539f5e8ea115d61,4861
0x2503b70933119084c26df4c8d3e96d282de10743,300
0xa01258f7c15ee825fb2dc67db273edc89621268a,700
0x1f5d295778796a8b9f29600a585ab73d452acb1c,2197
0xf3236c9d0b623cc261009484db5cfed2079a007f,599
0x463757f957f3bc482cd7af877565f90333c4b524,1300
0x1c4420dea13bb5e6c2dd3c14fd9e507bedd44ee9,300
0xb13a55d8512aec4bf7b15067d733c4c3c68f2439,1000
0x7252921bd62996de2fc352710aea0295a4143218,789
0x5f8b9b4541ecef965424f1db923806aad626add2,3307
0x1ddc50a8b8ef07c654b4ace65070b0e7acff622b,250
0x6da0a1784de1abdde1734ba37eca3d560bf044c0,4197
0x5041fc8ff3ecffcc0644220401090e921e272b77,400
0xfa922ce609fed47950e3f48662c9651d42ada194,637
0xc93c7f71581dfeaab59bed908888dac5689f312a,500
0x68b2a2ea4cf4e8b1a6f29ddaa3cfe5d86520c34d,1985
0xead28e25ad83ee78f12e4188ae7f8743aa761f7c,555
0x6159727bfe4e9ed8459dd05f247432ae7bef44d5,700
0xa4d8907bf757d268c9d054d8cc274e2f54e7c760,1233
0x778af538bb7609d721e2a8a03a02e3a53dbb4f51,4699
0x704cf202792341d79a9fd6dd97046aa7ef3f4319,1400
0xa7860e99e3ce0752d1ac53b974e309fff80277c6,213
0xe3f3bc22382e0edfdedacb5e4a89a5418432fd07,7275
0x788f6b0226553f7331054438e3bda08f989cc007,300
0xa7f49efdc904e8906817afbec3e2ae73e2a4e113,2055
0x3cc1a943b27c2af7c6dcf3be0137f66c2f22e712,2300
0x14190083645da88b847813581e009a505ab0518d,333
0x9b327cd5c79b58bd64388a742adc9489dc7f2dbb,200
0xe487ed5ec80cca6e8a44f6d6f3f712088df8ad4f,200
0xee96703614ea707b0b99ecb55da74c04ff70f2ed,300
0x02ac33835070d0c90bef87c273514e67aea36ef8,1290
0x7cc4e967242e1cad92152d47ae0bb9169e97d553,200
0xd8da6bf26964af9d7eed9e03e53415d37aa96045,810
0x961aa96febee5465149a0787b03bfa14d8e9033f,279
0x5c8f77be6639cbd5b669e409c610926cc4e0e6ae,3000
0xee324c588cef1bf1c1360883e4318834af66366d,300
0x01a29134723ef72a968838cb1df498bc4f910bec,200
0xf159dc86d3989f76e3ee343bb30e672bc081bb88,222
0xbe957a475844c127ddd207b4ff1f63900fd13e57,420
0xba8e220834c32fac376bbfb33820c001f022d72e,500
0xaea4a0dedb94ba5b2b8ed9477a8a54379c584542,800
0x1a1427a73b7cb0f4ea3f71c6c8090c4366c8ebe1,1780
0x4f764a08c66251e13bdd85b4bb0652b739736328,1020
0x008555414b8c487a33bba91a6165f3f39630f2bb,937
0xbc6a8e3e20d196a97529feb859a7099e2e0fd575,1205
0x5f57c686bdbc03242c8fa723b80f0a6cdea79546,1101
0x0ce98350b9dea81fe0b47dbc4787a1e9f8f1d7ff,2050
0xcf75bf188c5ca5198ef571aed3d75ecde3bcd9d9,1080
0xedc5b2c93f28b30862a220b5158fa3e94856344d,200
0xf1da6e2d387e9da611dac8a7fc587eaa4b010013,300
0xdd6057e8b997bd9484c46f1bcec7c75138b4552c,7386
0x56c09caf7a77d5d254dae3438bb843a1ffd06aa2,597
0xf3b9fda930434eaa4f48884f4c8f71da371eeefb,1000
0xa081e1da16133bb4ebc7aab1a9b0588a48d15138,1000
0x140a8219678c254332f12b2d16442b6512ddea9e,280
0xdd99d97bff9b1064a0fa81840725a3ae3c3d7525,2000
0xefe45908dfbeef7a00ed2e92d3b88afd7a32c95c,1200
0x7e0512f8089886003798cdeb60c898b145634bd3,200
0x9093a6ede64142a90718a0411ff25ce4daf391b6,3556
0x4076eca4db9684fa1d9bfac231cb516889a33e5a,2469
0xe778bed61406143cb17a32257f442c95130e8ee5,200
0xb03f5438f9a243de5c3b830b7841ec315034cd5f,200
0x44b1b486ce8d9c82f605626347a7b1f74add11de,2225
0xfbd39c29dbbbe1f3e563e2a8233262c29040efef,200
0x99999990d598b918799f38163204bbc30611b6b6,600
0xd91c8fe4ce51e400cee8a4ad49b774e7f2668200,745
0x8da555dcb53e65b34a5c86360259601312e59ebb,950
0xb8ac952dcdfd1e77222213ae508ad8864dc391b4,1800
0x8f791f061d7f36dc07de081ad88f87d71be1585e,24132
0x366ddda42f9c965c765fa6d8e98d84f224e81f46,200
0xf43b2be4aa887f426f05f78604b364af667c608d,1422
0xb57381c7ed83bb9031a786d2c691cc6c7c2207a4,17443
0xee0b53ac9578cbc6e0cee0ac6e18cfb7118b5cb3,200
0x7d57df5b6d9d22d7a7305c6ea78a1f86b8696374,300
0xa6bcb89f21e0bf71e08ded426c142757791e17cf,1175
0x822ec855cc9f41b592622108e6f3565e976430c6,8116
0xdc3bb7ebffa056fa67a6d3a5f1bcd96379b8b6d0,500
0x5d98609f4a43ed4d36dae38a58365b352109c7a6,1447
0xede3a75aca635c531b6198c230f3da67949678fe,400
0x9c99bf82fc38713c471d4415f66c8336d361501a,500
0xc79add7025cb02ddd1f76a2be5453f9d190e9883,200
0xc14a874a16944a29843e860339e65d5ec44f8b30,900
0x2229cc198ed737619630df6f43c4027bb28cc797,222
0xcb25bf20256b54b3797128d49b6808439b61b0a3,1000
0xaf153e755f59bb62ba8a5b7e5ffdb71c0ac43305,4500
0xcffbda2841ef95df3e977982ecc55429b8d82eb5,3015
0x4b288b23e3bdbbdc5632e5c31006c7f9a7355591,1845
